,Sentences
1844,Its knots are so hard that they quickly turn the edge of an axe or gap it as a stone might; these are probably the hardest vegetable growth in our woods.
1845,Its topmost twig usually points easterly.
1846,"Nova Scotia to Minnesota, south to Delaware and Michigan."
1847,Illustration: Cottonwood Illustration: Shagbark Illustration: Walnut Red Cedar Evergreen.
1848,"Wood, heart a beautiful bright red; sap wood nearly white; soft, weak, but extremely durable as posts, etc."
1849,The tiny scale like leaves are to to the inch; the berry like cones are light blue and of an inch in diameter.
1850,It is found in dry places from Nova Scotia to Florida and west to British Columbia.
1851,"Cottonwood Small and rare in the Northeast, but abundant and large in West; even feet high."
1852,Found from Quebec to Florida and west to the mountains.
1853,Shagbark or White Hickory A tall forest tree up to feet high.
1854,"Known at once by the great angular slabs of bark hanging partly detached from its main trunk, forced off by the growth of wood, but too tough to fall."
1855,"Its leaves are to inches long, with to broad leaflets."
1856,Black Walnut A magnificent forest tree up to feet high.
1857,"Wood, a dark purplish brown or gray; hard, close grained, strong, very durable in weather or ground work, and heavy; fruit round, inches through."
1858,Leaflets to and to inches long.
1859,Found from Canada to the Gulf.
1860,"White Walnut or Butternut A much smaller tree than the last, rarely feet high, with much smoother bark, leaves similar but larger and coarser, compound of fewer leaflets, but the leaflet stalks and the new twigs are covered with sticky down."
1861,"Leaves to inches long, leaflets to in number and to inches long; fruit oblong, to inches long."
1862,New Brunswick and Dakota and south to Mississippi.
1863,"Common Birch or Aspen leaved Birch A small tree on dry and poor soil, rarely feet high."
1864,"Wood soft, close grained, not strong, splits in drying, useless for weather or ground work."
1865,It has a black triangular scar at each armpit.
1866,The canoe birch is without these black marks.
1867,New Brunswick to Ontario to Pennsylvania and Delaware.
1868,"Black Birch, Sweet Birch, or Mahogany Birch The largest of the birches; a great tree, in Northern forests up to feet high."
1869,"The bark is scarcely birchy, rather like that of cherry, very dark, and aromatic."
1870,Newfoundland to Western Ontario and south to Tennessee.
1871,Illustration: Ashen leaved birch Illustration: Black birch Illustration: Beech Beech In all North America there is but one species of beech.
1872,"It is a noble forest tree, to and occasionally feet high, readily distinguished by its smooth, ashy gray bark."
1873,It shares with hickory and sugar maple the honor of being a perfect firewood.
1874,"Nova Scotia to Wisconsin, south to Florida and Texas."
1875,"Chestnut A noble tree, to or even feet high."
1876,Maine to Michigan and south to Tennessee.
1877,"Red Oak A fine forest tree, to or even feet high."
1878,"It checks, warps, and does not stand for weather or ground work."
1879,The acorn takes two seasons to ripen.
1880,"Nova Scotia to Minnesota, south to Texas and Florida."
1881,"White Oak A grand forest tree, over up to feet high."
1882,"Wood pale, strong, tough, fine grained, durable and heavy, valuable timber."
1883,Called white from pale color of bark and wood.
1884,"Maine to Minnesota, Florida and Texas."
1885,"Illustration: Chestnut Illustration: Red oak Illustration: White oak White Elm or Swamp Elm A tall, splendid forest tree, commonly occasionally feet high."
1886,"Wood reddish brown, hard, strong, tough, very hard to split, coarse, heavy."
